epsilon,strategy,replication,aulc
0.0,diversity,0,769.1700000000001
0.0,diversity,1,758.415
0.0,diversity,2,821.025
0.0,diversity,3,777.585
0.0,diversity,4,812.8699999999999
0.0,random,0,797.58
0.0,random,1,766.525
0.0,random,2,816.1750000000001
0.0,random,3,794.7199999999999
0.0,random,4,792.215
0.0,uncertainty,0,711.72
0.0,uncertainty,1,754.045
0.0,uncertainty,2,728.13
0.0,uncertainty,3,751.7700000000001
0.0,uncertainty,4,746.685
5.0,diversity,0,750.9599999999999
5.0,diversity,1,774.4
5.0,diversity,2,770.0450000000001
5.0,diversity,3,760.91
5.0,diversity,4,785.6600000000001
5.0,random,0,764.69
5.0,random,1,761.345
5.0,random,2,805.565
5.0,random,3,774.2349999999999
5.0,random,4,800.075
5.0,uncertainty,0,698.705
5.0,uncertainty,1,735.8649999999999
5.0,uncertainty,2,742.1449999999999
5.0,uncertainty,3,738.9300000000001
5.0,uncertainty,4,731.12
10.0,diversity,0,730.895
10.0,diversity,1,751.385
10.0,diversity,2,773.1049999999999
10.0,diversity,3,758.6550000000001
10.0,diversity,4,765.5749999999999
10.0,random,0,759.7750000000001
10.0,random,1,746.8699999999999
10.0,random,2,784.7200000000001
10.0,random,3,781.5649999999999
10.0,random,4,767.1700000000001
10.0,uncertainty,0,709.8149999999999
10.0,uncertainty,1,708.15
10.0,uncertainty,2,736.1900000000002
10.0,uncertainty,3,723.025
10.0,uncertainty,4,702.3349999999999
15.0,diversity,0,744.1750000000001
15.0,diversity,1,724.72
15.0,diversity,2,786.58
15.0,diversity,3,741.22
15.0,diversity,4,752.485
15.0,random,0,753.405
15.0,random,1,732.6800000000001
15.0,random,2,753.9399999999999
15.0,random,3,729.055
15.0,random,4,731.0250000000001
15.0,uncertainty,0,688.115
15.0,uncertainty,1,710.5650000000002
15.0,uncertainty,2,708.72
15.0,uncertainty,3,700.145
15.0,uncertainty,4,695.6000000000001
