strategy,labels,accuracy_mean,accuracy_ci95
random,100,0.18872,0.03494974042593163
random,200,0.26036,0.014842597433064073
random,300,0.32886000000000004,0.017065804527182423
random,400,0.35096,0.024224727816014764
random,500,0.36944,0.03270068370172098
random,600,0.3916,0.008716602824495332
random,700,0.40058000000000005,0.025258567984745284
random,800,0.40937999999999997,0.020246183340076714
random,900,0.40092,0.015067467333297927
random,1000,0.42132,0.016468012844299103
random,1100,0.43393999999999994,0.003713462987562956
random,1200,0.44553999999999994,0.030561208473488092
random,1300,0.46798,0.02129343134020442
random,1400,0.43439999999999995,0.039060247884518076
random,1500,0.4542400000000001,0.039891012854526516
random,1600,0.48057999999999995,0.018549450769227645
random,1700,0.47759999999999997,0.015759301964236857
random,1800,0.47008,0.020765032199348978
random,1900,0.50708,0.01961630042184304
random,2000,0.51266,0.007590186991108964
uncertainty,100,0.18872,0.03494974042593163
uncertainty,200,0.21538000000000004,0.038067035028223575
uncertainty,300,0.26498000000000005,0.05109609105049035
uncertainty,400,0.31544000000000005,0.030166278434039552
uncertainty,500,0.3681,0.027506070457264522
uncertainty,600,0.36284,0.026011319431355266
uncertainty,700,0.35015999999999997,0.04253925228491915
uncertainty,800,0.37940000000000007,0.03044467438485753
uncertainty,900,0.3706,0.013904953362021761
uncertainty,1000,0.37536,0.031645691665059233
uncertainty,1100,0.39371999999999996,0.019944134070949273
uncertainty,1200,0.42102000000000006,0.02180867964458188
uncertainty,1300,0.42132000000000003,0.0310758231787993
uncertainty,1400,0.42096,0.023217571297618533
uncertainty,1500,0.4400799999999999,0.034335396136348846
uncertainty,1600,0.44593999999999995,0.030840249664359075
uncertainty,1700,0.44977999999999996,0.029682088832155996
uncertainty,1800,0.44168,0.011001240977271606
uncertainty,1900,0.47664,0.02714777597078625
uncertainty,2000,0.44627999999999995,0.05466968099266722
diversity,100,0.18872,0.03494974042593163
diversity,200,0.25434,0.02898995709137907
diversity,300,0.28981999999999997,0.02584499135693413
diversity,400,0.33988,0.015774456993506953
diversity,500,0.37416,0.011034399637497274
diversity,600,0.38914,0.011402181026452799
diversity,700,0.39632,0.02123462588886369
diversity,800,0.41258000000000006,0.01297371955300406
diversity,900,0.39940000000000003,0.018646286708082126
diversity,1000,0.42586,0.009934435512901569
diversity,1100,0.40946,0.0153462618041007
diversity,1200,0.4407,0.013448085484558765
diversity,1300,0.4299799999999999,0.03495825802067374
diversity,1400,0.45952000000000004,0.01662091556563597
diversity,1500,0.4577,0.019993345052791937
diversity,1600,0.44352,0.030042868235905837
diversity,1700,0.46976000000000007,0.01742886399510879
diversity,1800,0.4617,0.015526862194274788
diversity,1900,0.48550000000000004,0.021974038936890962
diversity,2000,0.48172000000000004,0.011285652087495872
