strategy,labels,accuracy_mean,accuracy_ci95
random,50,0.15996666666666667,0.022525034645429026
random,100,0.16903333333333334,0.04396350828180623
random,150,0.15886666666666668,0.025355646980066954
random,200,0.15869999999999998,0.039038129121838475
random,250,0.13783333333333334,0.014401814206704803
random,300,0.1936,0.028830882701251673
random,350,0.19510000000000002,0.026462177688164668
random,400,0.23373333333333335,0.003201333333333334
random,450,0.24963333333333335,0.038349497994686246
random,500,0.2780666666666667,0.022236668135711728
uncertainty,50,0.15996666666666667,0.022525034645429026
uncertainty,100,0.16163333333333332,0.01700512586774287
uncertainty,150,0.16176666666666667,0.015314919319989179
uncertainty,200,0.1628333333333333,0.01837679294956307
uncertainty,250,0.16440000000000002,0.02646387132173472
uncertainty,300,0.1821,0.012824652094046573
uncertainty,350,0.22329999999999997,0.04333388167858186
uncertainty,400,0.22513333333333332,0.020984004871435872
uncertainty,450,0.23633333333333337,0.02306655302476822
uncertainty,500,0.26730000000000004,0.047196675193633436
diversity,50,0.15996666666666667,0.022525034645429026
diversity,100,0.16663333333333333,0.023650937383349325
diversity,150,0.17916666666666667,0.03505064833129973
diversity,200,0.1870666666666667,0.03685361777507211
diversity,250,0.19673333333333332,0.0351269209834534
diversity,300,0.19813333333333336,0.0316656452607203
diversity,350,0.23666666666666666,0.051919204222629516
diversity,400,0.2577,0.03328481671873827
diversity,450,0.2861666666666667,0.04322860363745798
diversity,500,0.28473333333333334,0.0543996029560674
