strategy,labels,accuracy_mean,accuracy_ci95
random,100,0.14754,0.025842181907880766
random,200,0.23573999999999998,0.029813371807965623
random,300,0.27754,0.05502748781618147
random,400,0.31676000000000004,0.025459381503877897
random,500,0.34866,0.025261548791790264
random,600,0.3666,0.016326811764701646
random,700,0.38304,0.013882778373221988
random,800,0.38674,0.026178997371175235
random,900,0.3811,0.009744571247622952
random,1000,0.41342,0.019603468893030135
random,1100,0.41674000000000005,0.017955418685176913
random,1200,0.42428,0.023374871581251514
random,1300,0.43710000000000004,0.013589317628196066
random,1400,0.4540400000000001,0.011844077446555312
random,1500,0.44139999999999996,0.022361444067859306
random,1600,0.46255999999999997,0.007855322027772007
random,1700,0.44108,0.021159051071350066
random,1800,0.45118,0.02697086770276404
random,1900,0.45496,0.020180919923531722
random,2000,0.46699999999999997,0.015784024936624997
uncertainty,100,0.14754,0.025842181907880766
uncertainty,200,0.22766000000000003,0.02241280354083354
uncertainty,300,0.25642,0.023121969722322524
uncertainty,400,0.30301999999999996,0.007439587881058996
uncertainty,500,0.34868,0.026963032630622243
uncertainty,600,0.35592,0.012012961360130985
uncertainty,700,0.35266,0.018197478533027604
uncertainty,800,0.38039999999999996,0.011072352089777493
uncertainty,900,0.3566,0.016188935579586432
uncertainty,1000,0.40358,0.024219319574257245
uncertainty,1100,0.38171999999999995,0.01958749120842176
uncertainty,1200,0.40553999999999996,0.01695027219132484
uncertainty,1300,0.40058,0.018557318918421384
uncertainty,1400,0.42156000000000005,0.02284174615391739
uncertainty,1500,0.40166,0.025217561392014094
uncertainty,1600,0.42588,0.03337445503135594
uncertainty,1700,0.42328,0.02607222913062862
uncertainty,1800,0.42756,0.017002432324817525
uncertainty,1900,0.43322000000000005,0.017269079391791557
uncertainty,2000,0.45316,0.007589680847044892
diversity,100,0.14754,0.025842181907880766
diversity,200,0.22878000000000004,0.018611580412205737
diversity,300,0.28300000000000003,0.02646733083633482
diversity,400,0.3442,0.019167657634672007
diversity,500,0.37422,0.019015879191875397
diversity,600,0.39113999999999993,0.010174760034516788
diversity,700,0.39198,0.022939821913868473
diversity,800,0.39952000000000004,0.020184231881347384
diversity,900,0.3843,0.02952367719644692
diversity,1000,0.40625999999999995,0.009436662172611682
diversity,1100,0.41617999999999994,0.01595389434088116
diversity,1200,0.41828000000000004,0.043365698728834064
diversity,1300,0.44352,0.018386471565800762
diversity,1400,0.4495,0.01415386013778574
diversity,1500,0.4295,0.013475338541201845
diversity,1600,0.44652000000000003,0.0181783422522517
diversity,1700,0.45782,0.009867271509389012
diversity,1800,0.45255999999999996,0.014830168743476936
diversity,1900,0.4727,0.01131431115004357
diversity,2000,0.46921999999999997,0.014720422080905148
