strategy,labels,accuracy_mean,accuracy_ci95
random,100,0.17503333333333335,0.04268802207229148
random,150,0.1728333333333333,0.036458341621332394
random,200,0.168,0.05333469369931733
random,250,0.15676666666666667,0.032660590101493546
random,300,0.18583333333333332,0.041802919536532104
random,350,0.20223333333333335,0.011423248885982961
random,400,0.2419,0.03706127992033375
random,450,0.24283333333333335,0.032754943389425126
random,500,0.26803333333333335,0.05695582987231813
random,550,0.2915666666666667,0.04124846788804536
random,600,0.3431666666666667,0.019947220001237716
random,650,0.3403333333333333,0.009034681129464997
random,700,0.32846666666666663,0.01756519199376363
random,750,0.34400000000000003,0.04154660656820641
random,800,0.33676666666666666,0.031580000534796995
random,850,0.3373333333333333,0.028207737598829937
random,900,0.36866666666666664,0.03167716833585002
random,950,0.3768666666666666,0.012800832542369203
random,1000,0.3719333333333334,0.04368826859060046
uncertainty,100,0.17503333333333335,0.04268802207229148
uncertainty,150,0.16503333333333334,0.05212339028796105
uncertainty,200,0.15926666666666667,0.05724199303929863
uncertainty,250,0.18466666666666665,0.04393670309787833
uncertainty,300,0.21433333333333335,0.05377933483328992
uncertainty,350,0.22643333333333335,0.06619988456518971
uncertainty,400,0.23696666666666666,0.03151485239974604
uncertainty,450,0.24606666666666668,0.03164865623968541
uncertainty,500,0.2576333333333333,0.050396695200291775
uncertainty,550,0.2482,0.10257549721709046
uncertainty,600,0.3174666666666666,0.08468177927065801
uncertainty,650,0.31939999999999996,0.011223460428940804
uncertainty,700,0.29833333333333334,0.05674195298405269
uncertainty,750,0.3217,0.016985787156718217
uncertainty,800,0.3497666666666667,0.03241224791820386
uncertainty,850,0.3274333333333333,0.04645273510904511
uncertainty,900,0.32106666666666667,0.016926629801719068
uncertainty,950,0.35873333333333335,0.01856398123008939
uncertainty,1000,0.3411666666666666,0.07046105346296713
diversity,100,0.17503333333333335,0.04268802207229148
diversity,150,0.18323333333333333,0.047802351202053284
diversity,200,0.17176666666666665,0.06140780755282218
diversity,250,0.17426666666666668,0.03967347502355251
diversity,300,0.20476666666666668,0.04171721347890393
diversity,350,0.21620000000000003,0.048885925881927764
diversity,400,0.24206666666666665,0.020989496336130717
diversity,450,0.2608666666666667,0.028380622528604113
diversity,500,0.26206666666666667,0.026960114869521188
diversity,550,0.3026333333333333,0.061139155346180925
diversity,600,0.2973666666666666,0.07460242803317091
diversity,650,0.3092,0.027999201988628177
diversity,700,0.31516666666666665,0.027207156542187756
diversity,750,0.33433333333333337,0.031463003063563075
diversity,800,0.35283333333333333,0.035480932744848245
diversity,850,0.3691333333333333,0.014123489150269406
diversity,900,0.3282,0.05646716572782217
diversity,950,0.3724,0.03870805649129562
diversity,1000,0.38376666666666664,0.019194106086099543
